y z u v
-2.1000 -1.1000 -0.0241 -0.0045
-2.1000 -0.9897 -0.0257 -0.0030
-2.1000 -0.8793 -0.0271 -0.0012
-2.1000 -0.7690 -0.0282 0.0009
-2.1000 -0.6586 -0.0292 0.0034
-2.1000 -0.5483 -0.0297 0.0063
-2.1000 -0.4379 -0.0298 0.0094
-2.1000 -0.3276 -0.0293 0.0127
-2.1000 -0.2172 -0.0281 0.0162
-2.1000 -0.1069 -0.0263 0.0197
-2.1000 0.0034 -0.0237 0.0231
-2.1000 0.1138 -0.0204 0.0262
-2.1000 0.2241 -0.0165 0.0289
-2.1000 0.3345 -0.0121 0.0311
-2.1000 0.4448 -0.0072 0.0325
-2.1000 0.5552 -0.0022 0.0332
-2.1000 0.6655 0.0029 0.0332
-2.1000 0.7759 0.0079 0.0324
-2.1000 0.8862 0.0125 0.0309
-2.1000 0.9966 0.0166 0.0288
-2.1000 1.1069 0.0201 0.0262
-2.1000 1.2172 0.0229 0.0233
-2.1000 1.3276 0.0251 0.0202
-2.1000 1.4379 0.0265 0.0170
-2.1000 1.5483 0.0274 0.0139
-2.1000 1.6586 0.0276 0.0109
-2.1000 1.7690 0.0274 0.0082
-2.1000 1.8793 0.0269 0.0058
-2.1000 1.9897 0.0260 0.0036
-2.1000 2.1000 0.0249 0.0017
-1.9552 -1.1000 -0.0278 -0.0071
-1.9552 -0.9897 -0.0299 -0.0055
-1.9552 -0.8793 -0.0319 -0.0035
-1.9552 -0.7690 -0.0337 -0.0011
-1.9552 -0.6586 -0.0352 0.0019
-1.9552 -0.5483 -0.0363 0.0053
-1.9552 -0.4379 -0.0368 0.0092
-1.9552 -0.3276 -0.0366 0.0135
-1.9552 -0.2172 -0.0355 0.0180
-1.9552 -0.1069 -0.0334 0.0227
-1.9552 0.0034 -0.0304 0.0272
-1.9552 0.1138 -0.0263 0.0314
-1.9552 0.2241 -0.0213 0.0351
-1.9552 0.3345 -0.0156 0.0380
-1.9552 0.4448 -0.0092 0.0400
-1.9552 0.5552 -0.0025 0.0410
-1.9552 0.6655 0.0042 0.0409
-1.9552 0.7759 0.0107 0.0397
-1.9552 0.8862 0.0166 0.0376
-1.9552 0.9966 0.0218 0.0346
-1.9552 1.1069 0.0262 0.0310
-1.9552 1.2172 0.0296 0.0270
-1.9552 1.3276 0.0320 0.0229
-1.9552 1.4379 0.0335 0.0187
-1.9552 1.5483 0.0341 0.0147
-1.9552 1.6586 0.0341 0.0110
-1.9552 1.7690 0.0334 0.0076
-1.9552 1.8793 0.0323 0.0047
-1.9552 1.9897 0.0309 0.0022
-1.9552 2.1000 0.0292 0.0000
-1.8103 -1.1000 -0.0319 -0.0106
-1.8103 -0.9897 -0.0348 -0.0090
-1.8103 -0.8793 -0.0376 -0.0069
-1.8103 -0.7690 -0.0403 -0.0041
-1.8103 -0.6586 -0.0427 -0.0007
-1.8103 -0.5483 -0.0446 0.0035
-1.8103 -0.4379 -0.0459 0.0083
-1.8103 -0.3276 -0.0462 0.0138
-1.8103 -0.2172 -0.0454 0.0198
-1.8103 -0.1069 -0.0432 0.0260
-1.8103 0.0034 -0.0396 0.0322
-1.8103 0.1138 -0.0345 0.0380
-1.8103 0.2241 -0.0281 0.0432
-1.8103 0.3345 -0.0204 0.0472
-1.8103 0.4448 -0.0119 0.0500
-1.8103 0.5552 -0.0030 0.0514
-1.8103 0.6655 0.0060 0.0511
-1.8103 0.7759 0.0147 0.0494
-1.8103 0.8862 0.0225 0.0462
-1.8103 0.9966 0.0293 0.0420
-1.8103 1.1069 0.0347 0.0370
-1.8103 1.2172 0.0388 0.0315
-1.8103 1.3276 0.0414 0.0258
-1.8103 1.4379 0.0427 0.0203
-1.8103 1.5483 0.0430 0.0151
-1.8103 1.6586 0.0423 0.0104
-1.8103 1.7690 0.0408 0.0063
-1.8103 1.8793 0.0389 0.0028
-1.8103 1.9897 0.0367 -0.0001
-1.8103 2.1000 0.0342 -0.0024
-1.6655 -1.1000 -0.0365 -0.0153
-1.6655 -0.9897 -0.0403 -0.0138
-1.6655 -0.8793 -0.0443 -0.0117
-1.6655 -0.7690 -0.0483 -0.0087
-1.6655 -0.6586 -0.0520 -0.0048
-1.6655 -0.5483 -0.0552 0.0001
-1.6655 -0.4379 -0.0577 0.0062
-1.6655 -0.3276 -0.0590 0.0132
-1.6655 -0.2172 -0.0588 0.0211
-1.6655 -0.1069 -0.0567 0.0296
-1.6655 0.0034 -0.0525 0.0382
-1.6655 0.1138 -0.0461 0.0464
-1.6655 0.2241 -0.0377 0.0537
-1.6655 0.3345 -0.0274 0.0596
-1.6655 0.4448 -0.0158 0.0636
-1.6655 0.5552 -0.0035 0.0654
-1.6655 0.6655 0.0088 0.0650
-1.6655 0.7759 0.0206 0.0623
-1.6655 0.8862 0.0311 0.0577
-1.6655 0.9966 0.0399 0.0515
-1.6655 1.1069 0.0468 0.0443
-1.6655 1.2172 0.0515 0.0365
-1.6655 1.3276 0.0542 0.0287
-1.6655 1.4379 0.0551 0.0213
-1.6655 1.5483 0.0545 0.0146
-1.6655 1.6586 0.0527 0.0087
-1.6655 1.7690 0.0501 0.0038
-1.6655 1.8793 0.0469 -0.0003
-1.6655 1.9897 0.0435 -0.0035
-1.6655 2.1000 0.0400 -0.0059
-1.5207 -1.1000 -0.0414 -0.0214
-1.5207 -0.9897 -0.0465 -0.0203
-1.5207 -0.8793 -0.0520 -0.0184
-1.5207 -0.7690 -0.0577 -0.0155
-1.5207 -0.6586 -0.0633 -0.0112
-1.5207 -0.5483 -0.0686 -0.0055
-1.5207 -0.4379 -0.0731 0.0019
-1.5207 -0.3276 -0.0761 0.0109
-1.5207 -0.2172 -0.0772 0.0215
-1.5207 -0.1069 -0.0756 0.0332
-1.5207 0.0034 -0.0710 0.0454
-1.5207 0.1138 -0.0629 0.0572
-1.5207 0.2241 -0.0517 0.0679
-1.5207 0.3345 -0.0376 0.0765
-1.5207 0.4448 -0.0215 0.0823
-1.5207 0.5552 -0.0042 0.0849
-1.5207 0.6655 0.0131 0.0841
-1.5207 0.7759 0.0295 0.0800
-1.5207 0.8862 0.0439 0.0731
-1.5207 0.9966 0.0556 0.0639
-1.5207 1.1069 0.0643 0.0532
-1.5207 1.2172 0.0696 0.0421
-1.5207 1.3276 0.0720 0.0312
-1.5207 1.4379 0.0718 0.0213
-1.5207 1.5483 0.0696 0.0125
-1.5207 1.6586 0.0660 0.0052
-1.5207 1.7690 0.0615 -0.0006
-1.5207 1.8793 0.0565 -0.0051
-1.5207 1.9897 0.0515 -0.0085
-1.5207 2.1000 0.0466 -0.0109
-1.3759 -1.1000 -0.0464 -0.0293
-1.3759 -0.9897 -0.0531 -0.0291
